,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
22,2017-08-26,Huddersfield,Southampton,0,0,NH,4,3,0,2,2.0,1.3333333333333333,W,W,M,M,M,W,D,M,M,M,16.0,19.0,3.0,WWMMM,WDMMM,6,4,0,0,0,0,0,0,0,0,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,-3.0
23,2017-08-26,Man United,Leicester,2,0,H,8,5,0,4,2.0,1.0,W,W,M,M,M,W,L,M,M,M,18.0,4.0,3.0,WWMMM,WLMMM,6,3,0,0,0,0,0,0,0,0,2.6666666666666665,0.3333333333333333,1.0,1.0,14.0
24,2017-08-26,Newcastle,West Ham,3,0,H,0,2,3,7,0.0,0.0,L,L,M,M,M,L,L,M,M,M,18.0,18.0,3.0,LLMMM,LLMMM,0,0,0,0,0,0,0,0,0,0,-1.0,-1.6666666666666667,0.0,0.0,0.0
25,2017-08-26,Watford,Brighton,0,0,NH,5,0,3,4,1.3333333333333333,0.0,W,D,M,M,M,L,L,M,M,M,20.0,15.0,3.0,WDMMM,LLMMM,4,0,0,0,0,0,0,0,0,0,0.6666666666666666,-1.3333333333333333,1.3333333333333333,1.3333333333333333,5.0
26,2017-08-27,Chelsea,Everton,2,0,H,4,2,4,1,1.0,1.3333333333333333,W,L,M,M,M,D,W,M,M,M,18.0,18.0,3.0,WLMMM,DWMMM,3,4,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0
27,2017-08-27,Liverpool,Arsenal,4,0,H,4,4,3,4,1.3333333333333333,1.0,W,D,M,M,M,L,W,M,M,M,1.0,6.0,3.0,WDMMM,LWMMM,4,3,0,0,0,0,0,0,0,0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,-5.0
28,2017-08-27,Tottenham,Burnley,1,1,NH,3,3,2,3,1.0,1.0,L,W,M,M,M,L,W,M,M,M,14.0,18.0,3.0,LWMMM,LWMMM,3,3,0,0,0,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,-4.0
29,2017-08-27,West Brom,Stoke,1,1,NH,2,1,0,1,2.0,1.0,W,W,M,M,M,W,L,M,M,M,13.0,18.0,3.0,WWMMM,WLMMM,6,3,0,0,0,0,0,0,0,0,0.6666666666666666,0.0,1.0,1.0,-5.0
30,2017-09-09,Arsenal,Bournemouth,3,0,H,4,1,8,5,0.75,0.0,L,L,W,M,M,L,L,L,M,M,6.0,18.0,4.0,LLWMM,LLLMM,3,0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.75,0.75,-12.0
31,2017-09-09,Brighton,West Brom,3,1,H,0,3,4,1,0.25,1.75,D,L,L,M,M,D,W,W,M,M,15.0,13.0,4.0,DLLMM,DWWMM,1,7,0,0,0,0,0,0,0,0,-1.0,0.5,-1.5,-1.5,2.0
32,2017-09-09,Everton,Tottenham,0,3,NH,2,4,3,3,1.0,1.0,L,D,W,M,M,D,L,W,M,M,18.0,14.0,4.0,LDWMM,DLWMM,4,4,0,0,0,0,0,0,0,0,-0.25,0.25,0.0,0.0,4.0
33,2017-09-09,Leicester,Chelsea,1,2,NH,5,6,6,4,0.75,1.5,L,W,L,M,M,W,W,L,M,M,4.0,18.0,4.0,LWLMM,WWLMM,3,6,0,0,0,0,0,0,0,0,-0.25,0.5,-0.75,-0.75,-14.0
34,2017-09-09,Man City,Liverpool,5,0,H,5,8,2,3,1.75,1.75,W,D,W,M,M,W,W,D,M,M,2.0,1.0,4.0,WDWMM,WWDMM,7,7,0,0,0,0,0,0,0,0,0.75,1.25,0.0,0.0,1.0
35,2017-09-09,Southampton,Watford,0,2,NH,3,5,2,3,1.25,1.25,D,W,D,M,M,D,W,D,M,M,19.0,20.0,4.0,DWDMM,DWDMM,5,5,0,0,0,0,0,0,0,0,0.25,0.5,0.0,0.0,-1.0
36,2017-09-09,Stoke,Man United,2,2,NH,2,10,2,0,1.0,2.25,D,W,L,M,M,W,W,W,M,M,18.0,18.0,4.0,DWLMM,WWWMM,4,9,0,0,0,0,0,0,0,0,0.0,2.5,-1.25,-1.25,0.0
37,2017-09-10,Burnley,Crystal Palace,1,0,H,4,0,4,6,1.0,0.0,D,L,W,M,M,L,L,L,M,M,18.0,18.0,4.0,DLWMM,LLLMM,4,0,0,0,0,0,0,0,0,0,0.0,-1.5,1.0,1.0,0.0
38,2017-09-10,Swansea,Newcastle,0,1,NH,2,3,4,3,1.0,0.75,W,L,D,M,M,W,L,L,M,M,3.0,18.0,4.0,WLDMM,WLLMM,4,3,0,0,0,0,0,0,0,0,-0.5,0.0,0.25,0.25,-15.0
39,2017-09-11,West Ham,Huddersfield,2,0,H,2,4,10,0,0.0,1.75,L,L,L,M,M,D,W,W,M,M,18.0,16.0,4.0,LLLMM,DWWMM,0,7,0,0,0,0,0,0,0,0,-2.0,1.0,-1.75,-1.75,2.0
40,2017-09-15,Bournemouth,Brighton,2,1,H,1,3,8,5,0.0,0.8,L,L,L,L,M,W,D,L,L,M,18.0,15.0,5.0,LLLLM,WDLLM,0,4,0,0,0,0,0,0,0,0,-1.4,-0.4,-0.8,-0.8,3.0
41,2017-09-16,Crystal Palace,Southampton,0,1,NH,0,3,7,4,0.0,1.0,L,L,L,L,M,L,D,W,D,M,18.0,19.0,5.0,LLLLM,LDWDM,0,5,0,0,0,0,0,0,0,0,-1.4,-0.2,-1.0,-1.0,-1.0
42,2017-09-16,Huddersfield,Leicester,1,1,NH,4,6,2,8,1.4,0.6,L,D,W,W,M,L,L,W,L,M,16.0,4.0,5.0,LDWWM,LLWLM,7,3,0,0,0,0,0,0,0,0,0.4,-0.4,0.8,0.8,12.0
43,2017-09-16,Liverpool,Burnley,1,1,NH,8,5,8,4,1.4,1.4,L,W,W,D,M,W,D,L,W,M,1.0,18.0,5.0,LWWDM,WDLWM,7,7,0,0,0,0,0,0,0,0,0.0,0.2,0.0,0.0,-17.0
44,2017-09-16,Newcastle,Stoke,2,1,H,4,4,3,4,1.2,1.0,W,W,L,L,M,D,D,W,L,M,18.0,18.0,5.0,WWLLM,DDWLM,6,5,0,0,0,0,0,0,0,0,0.2,0.0,0.2,0.2,0.0
45,2017-09-16,Tottenham,Swansea,0,0,NH,7,2,3,5,1.4,0.8,W,D,L,W,M,L,W,L,D,M,14.0,3.0,5.0,WDLWM,LWLDM,7,4,0,0,0,0,0,0,0,0,0.8,-0.6,0.6,0.6,11.0
46,2017-09-16,Watford,Man City,0,6,NH,7,10,3,2,1.6,2.0,W,D,W,D,M,W,W,D,W,M,20.0,2.0,5.0,WDWDM,WWDWM,8,10,0,0,0,0,0,0,0,0,0.8,1.6,-0.4,-0.4,18.0
47,2017-09-16,West Brom,West Ham,0,0,NH,4,4,4,10,1.4,0.6,L,D,W,W,M,W,L,L,L,M,13.0,18.0,5.0,LDWWM,WLLLM,7,3,0,0,0,0,0,0,0,0,0.0,-1.2,0.8,0.8,-5.0
48,2017-09-17,Chelsea,Arsenal,0,0,NH,8,7,5,8,1.8,1.2,W,W,W,L,M,W,L,L,W,M,18.0,6.0,5.0,WWWLM,WLLWM,9,6,0,0,0,0,0,0,0,0,0.6,-0.2,0.6,0.6,12.0
49,2017-09-17,Man United,Everton,4,0,H,12,2,2,6,2.0,0.8,D,W,W,W,M,L,L,D,W,M,18.0,18.0,5.0,DWWWM,LLDWM,10,4,0,0,0,0,0,0,0,0,2.0,-0.8,1.2,1.2,0.0
